,Tarifa,Anio,Verano,Mes,Consumo,Precio,kwh,Minimo
0,Tarifa 1,2021,,MARZO,Consumobasico,0.859,75,25
1,Tarifa 1,2021,,MARZO,Consumointermedio,1.040,65,25
2,Tarifa 1,2021,,MARZO,Consumoexcedente,3.042,,25
3,Tarifa 1A,2021,FEBRERO,MARZO,Consumobasico,0.763,100,25
4,Tarifa 1A,2021,FEBRERO,MARZO,Consumointermedio,0.888,50,25
5,Tarifa 1A,2021,FEBRERO,MARZO,Consumoexcedente,3.042,,25
6,Tarifa 1A,2021,MARZO,MARZO,Consumobasico,0.763,100,25
7,Tarifa 1A,2021,MARZO,MARZO,Consumointermedio,0.888,50,25
8,Tarifa 1A,2021,MARZO,MARZO,Consumoexcedente,3.042,,25
9,Tarifa 1A,2021,ABRIL,MARZO,Consumobasico,0.859,75,25
10,Tarifa 1A,2021,ABRIL,MARZO,Consumointermedio,1.040,75,25
11,Tarifa 1A,2021,ABRIL,MARZO,Consumoexcedente,3.042,,25
12,Tarifa 1A,2021,MAYO,MARZO,Consumobasico,0.859,75,25
13,Tarifa 1A,2021,MAYO,MARZO,Consumointermedio,1.040,75,25
14,Tarifa 1A,2021,MAYO,MARZO,Consumoexcedente,3.042,,25
